;Alquiler_USD;G_C_pesos;Alq_GC
1;1900;12000;2185.714286
2;4600;40000;5552.380952
3;2300;17000;2704.761905
4;4000;33000;4785.714286
5;3500;35000;4333.333333
6;4500;35000;5333.333333
7;3700;20000;4176.190476
8;2500;38000;3404.761905
9;3500;21000;4000
10;1900;12000;2185.714286
11;3000;20000;3476.190476
12;3500;20000;3976.190476
13;3500;14000;3833.333333
14;3000;21000;3500
15;3000;22000;3523.809524
16;2980;19000;3432.380952
17;1800;21900;2321.428571
18;2400;17000;2804.761905
19;3000;20000;3476.190476
20;3500;15000;3857.142857
21;3800;40000;4752.380952
22;1146.341463;22000;1670.150987
