communityname,ViolentCR,householdsize,agePct12t21,PctUrban,medIncome,pctWSocSec,pctWPubAsst,pctWRetire,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,MalePctNevMarr,TotalPctDiv,PersPerFam,PctFam2Par,PctWorkMom,PctRecentImmig,PctHousOccup,PctHousOwnOcc,RentMedian,PctForeignBorn,PctBornSameState,PopDens,PctUsePubTrans
Lakewoodcity,2.028300098,0.33,0.34,1,0.37,0.29,0.15,0.43,0.19,0.1,0.18,0.48,0.27,0.4,0.75,0.35,0.55,0.76,0.07,0.71,0.52,0.35,0.12,0.42,0.26,0.2
Tukwilacity,6.733578002,0.16,0.26,1,0.31,0.25,0.29,0.39,0.24,0.14,0.24,0.3,0.27,0.63,1,0.29,0.43,0.53,0.25,0.79,0.24,0.38,0.21,0.5,0.12,0.45
Aberdeentown,4.333232123,0.42,0.39,0,0.3,0.38,0.4,0.84,0.27,0.27,0.43,0.19,0.36,0.41,0.7,0.45,0.42,0.67,0.02,0.86,0.41,0.29,0.14,0.49,0.21,0.02
Willingborotownship,1.251396609,0.77,0.51,1,0.58,0.36,0.2,0.82,0.1,0.09,0.25,0.31,0.33,0.45,0.44,0.75,0.65,0.86,0.05,0.97,0.96,0.7,0.19,0.3,0.39,0.28
Bethlehemtownship,0.394762095,0.55,0.38,0.9,0.5,0.44,0.11,0.71,0.06,0.25,0.3,0.33,0.12,0.27,0.21,0.51,0.91,0.6,0.01,0.89,0.87,0.36,0.11,0.72,0.09,0.02
SouthPasadenacity,1.434925601,0.28,0.31,1,0.52,0.28,0.15,0.25,0.12,0.13,0.12,0.8,0.1,0.57,0.58,0.44,0.62,0.43,0.5,0.84,0.3,0.63,0.7,0.42,0.58,0.1
Lincolntown,0.323412648,0.39,0.3,0.81,0.42,0.61,0.21,0.54,0.11,0.29,0.41,0.36,0.28,0.34,0.28,0.42,0.77,0.62,0,0.89,0.57,0.35,0.15,0.81,0.08,0.06
Selmacity,5.580381708,0.74,0.52,0,0.16,0.53,0.97,0.41,0.64,0.96,0.82,0.12,1,0.47,0.52,0.78,0.45,0.27,0.69,0.91,0.46,0.24,0.59,0.58,0.33,0
Hendersoncity,5.371133672,0.34,0.38,1,0.17,0.55,0.48,0.43,0.45,0.52,0.59,0.17,0.55,0.26,0.67,0.37,0.51,0.64,0,0.72,0.49,0.17,0.01,0.78,0.17,0.04
Claytoncity,1.510850727,0.4,0.9,1,0.54,0.42,0.02,0.31,0.11,0.04,0.03,1,0.11,0.85,0.36,0.31,0.65,0.71,0.22,0.72,0.38,0.42,0.22,0.42,0.47,0.11
DalyCitycity,2.407066142,0.71,0.4,1,0.49,0.36,0.4,0.45,0.18,0.33,0.36,0.38,0.32,0.55,0.46,0.85,0.62,0.81,1,0.87,0.49,0.67,1,0.35,1,1
RockvilleCentrevillage,0.895221662,0.46,0.34,1,0.72,0.63,0.17,0.59,0.07,0.18,0.19,0.72,0.18,0.4,0.22,0.59,0.85,0.39,0.05,0.89,0.62,0.54,0.2,0.88,0.63,1
Needhamtown,0.682641797,0.47,0.29,1,0.8,0.51,0.07,0.55,0.07,0.07,0.07,0.89,0.24,0.38,0.18,0.5,0.87,0.48,0.13,0.94,0.78,0.82,0.22,0.66,0.18,0.59
GrandChutetown,0.922571227,0.44,0.35,0.77,0.46,0.28,0.1,0.22,0.07,0.2,0.22,0.42,0.13,0.39,0.32,0.47,0.88,0.6,0.01,0.92,0.55,0.32,0.03,0.86,0.04,0
DanaPointcity,2.104869191,0.36,0.32,1,0.71,0.25,0.14,0.36,0.18,0.11,0.14,0.58,0.19,0.5,0.66,0.35,0.66,0.3,0.65,0.43,0.5,0.91,0.4,0.42,0.4,0.15
FortDodgecity,3.033440564,0.34,0.39,0,0.18,0.62,0.37,0.41,0.33,0.3,0.37,0.24,0.32,0.34,0.49,0.38,0.55,0.71,0,0.76,0.58,0.13,0.03,0.85,0.15,0.04
Albanycity,4.986079317,0.31,0.58,1,0.22,0.48,0.39,0.51,0.48,0.3,0.38,0.47,0.37,0.94,0.49,0.36,0.2,0.65,0.21,0.64,0.22,0.32,0.23,0.8,0.39,0.84
Denvilletownship,0.742449742,0.53,0.34,0.76,0.79,0.44,0.15,0.56,0.04,0.1,0.18,0.58,0.11,0.4,0.26,0.52,0.88,0.48,0.09,0.88,0.86,0.76,0.26,0.64,0.09,0.21
Valparaisocity,1.532305447,0.47,0.7,0,0.33,0.43,0.21,0.4,0.22,0.16,0.24,0.45,0.19,0.58,0.43,0.41,0.66,0.6,0.08,0.89,0.46,0.29,0.08,0.58,0.2,0.07
Rostravertownship,0.324881671,0.41,0.37,0.58,0.23,0.7,0.36,0.87,0.28,0.27,0.38,0.19,0.72,0.29,0.3,0.41,0.76,0.31,0,0.75,0.83,0.12,0.02,0.98,0.03,0.05
Modestocity,3.476582275,0.54,0.42,1,0.33,0.39,0.64,0.44,0.34,0.34,0.43,0.24,0.59,0.35,0.67,0.6,0.6,0.3,0.28,0.83,0.49,0.4,0.38,0.58,0.46,0.05
Jacksonvillecity,6.97184553,0.42,0.41,0.99,0.28,0.4,0.3,0.45,0.33,0.25,0.39,0.28,0.3,0.41,0.73,0.47,0.53,0.56,0.07,0.6,0.54,0.28,0.1,0.44,0.07,0.15
KlamathFallscity,2.127848602,0.34,0.49,0,0.13,0.52,0.41,0.41,0.58,0.31,0.42,0.24,0.63,0.49,0.72,0.4,0.49,0.48,0.14,0.68,0.38,0.17,0.12,0.41,0.09,0.06
SiouxCitycity,6.3353912,0.43,0.45,1,0.22,0.56,0.41,0.39,0.36,0.29,0.37,0.27,0.33,0.39,0.5,0.49,0.59,0.71,0.11,0.8,0.61,0.17,0.09,0.72,0.12,0.07
Delanocity,3.150842731,0.96,0.54,0,0.16,0.49,0.92,0.28,0.63,1,1,0.1,1,0.49,0.33,1,0.54,0.47,1,0.87,0.42,0.22,1,0.43,0.22,0.02
Goldencity,1.262433276,0.33,0.55,1,0.29,0.3,0.15,0.41,0.3,0.11,0.18,0.54,0.3,0.73,0.64,0.28,0.58,0.67,0.29,0.7,0.47,0.31,0.15,0.34,0.15,0.16
Gardenacity,8.459881669,0.49,0.35,1,0.35,0.36,0.38,0.34,0.25,0.35,0.46,0.25,0.35,0.59,0.62,0.58,0.47,0.49,0.8,0.83,0.33,0.57,0.87,0.39,0.79,0.21
Perrytownship,1.099675866,0.37,0.35,0,0.23,0.64,0.35,0.63,0.32,0.3,0.45,0.16,0.34,0.25,0.5,0.4,0.65,0.42,0.02,0.82,0.64,0.14,0.04,0.82,0.09,0
Beckleycity,4.933415477,0.27,0.36,0,0.12,0.84,0.48,0.82,0.57,0.46,0.49,0.3,0.54,0.33,0.63,0.35,0.41,0.4,0.01,0.5,0.54,0.14,0.05,0.82,0.17,0
EastHamptontown,0.241465116,0.5,0.31,0,0.6,0.26,0.12,0.31,0.01,0.18,0.27,0.44,0.22,0.35,0.4,0.47,0.83,0.82,0.04,0.57,0.77,0.49,0.07,0.71,0.02,0.08
Cullmancity,1.657734423,0.3,0.38,0,0.16,0.73,0.53,0.49,0.45,0.62,0.61,0.26,0.24,0.22,0.57,0.28,0.63,0.54,0.02,0.8,0.5,0.09,0,0.82,0.07,0.01
DesMoinescity,1.947290363,0.34,0.4,1,0.25,0.49,0.34,0.47,0.33,0.19,0.31,0.29,0.28,0.44,0.65,0.41,0.51,0.74,0.07,0.78,0.54,0.27,0.09,0.78,0.21,0.2
Auburncity,1.577333131,0.37,1,1,0.02,0.13,0.11,0.16,1,0.18,0.18,0.82,0.42,1,0.13,0.38,0.55,0.69,0.29,0.66,0.21,0.21,0.12,0.49,0.09,0.01
Lynchburgcity,3.199284999,0.43,0.58,1,0.2,0.65,0.36,0.52,0.43,0.47,0.53,0.34,0.36,0.53,0.52,0.39,0.41,0.62,0.08,0.69,0.49,0.18,0.04,0.72,0.11,0.19
FosterCitycity,0.855422572,0.36,0.31,1,0.8,0.14,0.08,0.31,0.06,0.05,0.05,0.77,0.16,0.47,0.54,0.41,0.79,0.62,0.7,0.84,0.52,1,0.67,0.38,0.63,0.22
Evansvillecity,2.447376959,0.3,0.36,1,0.19,0.6,0.35,0.5,0.38,0.38,0.48,0.22,0.45,0.37,0.71,0.36,0.47,0.66,0.03,0.63,0.5,0.17,0.02,0.71,0.26,0.09
LaVernecity,1.13492068,0.56,0.45,1,0.58,0.45,0.22,0.51,0.1,0.16,0.25,0.43,0.2,0.37,0.4,0.58,0.78,0.61,0.14,0.89,0.71,0.6,0.35,0.53,0.33,0.1
Woodburncity,2.288950894,0.52,0.36,0,0.18,0.93,0.41,0.75,0.59,0.69,0.64,0.12,0.34,0.28,0.32,0.58,0.62,0.34,0.87,0.92,0.62,0.26,0.56,0.37,0.27,0.04
Altuscity,1.328392474,0.5,0.48,0,0.17,0.43,0.48,0.51,0.48,0.36,0.42,0.27,0.5,0.3,0.51,0.49,0.65,0.38,0.08,0.44,0.44,0.21,0.09,0.38,0.14,0
Plainsborotownship,0.755092762,0.14,0.18,0,0.58,0,0.03,0,0.02,0.04,0.03,0.98,0.16,0.6,0.5,0.31,0.75,0.41,0.63,0.5,0.24,0.64,0.45,0.35,0.1,0.53
LittleEggHarbortownship,1.165438007,0.46,0.31,0,0.37,0.63,0.15,0.74,0.1,0.21,0.44,0.15,0.51,0.26,0.33,0.44,0.72,0.32,0,0,0.8,0.57,0.1,0.6,0.02,0.1
EastProvidencecity,0.621876967,0.37,0.31,1,0.32,0.65,0.33,0.63,0.17,0.49,0.58,0.24,0.33,0.39,0.42,0.45,0.67,0.72,0.17,0.86,0.52,0.36,0.44,0.67,0.31,0.2
Fairfieldcity,8.097761584,0.45,0.43,1,0.16,0.71,0.44,0.61,0.54,0.39,0.5,0.26,0.56,0.42,0.66,0.52,0.3,0.83,0,0.66,0.55,0.11,0.01,0.93,0.3,0.15
Carlsbadcity,2.233628546,0.37,0.29,1,0.56,0.42,0.18,0.6,0.17,0.14,0.15,0.58,0.27,0.4,0.62,0.35,0.68,0.47,0.42,0.67,0.54,0.71,0.37,0.35,0.14,0.15
Paramusborough,1.760430815,0.73,0.34,1,0.78,0.54,0.02,0.57,0.07,0.21,0.23,0.5,0.18,0.41,0.11,0.62,0.93,0.11,0.39,0.98,0.93,1,0.55,0.42,0.2,0.32
FortCollinscity,1.634631591,0.41,0.72,1,0.25,0.22,0.16,0.24,0.44,0.12,0.12,0.7,0.34,0.73,0.41,0.42,0.7,0.55,0.29,0.83,0.42,0.31,0.13,0.32,0.18,0.07
Winslowtownship,2.060940767,0.67,0.38,0.68,0.47,0.34,0.2,0.35,0.18,0.27,0.41,0.27,0.32,0.42,0.44,0.65,0.72,0.62,0.03,0.71,0.81,0.4,0.07,0.51,0.04,0.34
Artesiacity,1.288503674,0.47,0.42,0,0.18,0.65,0.45,0.31,0.57,0.65,0.62,0.18,0.45,0.24,0.43,0.54,0.64,0.23,0.09,0.44,0.66,0.11,0.11,0.52,0.11,0.02
Littletoncity,1.175399064,0.32,0.34,1,0.37,0.38,0.16,0.48,0.18,0.08,0.15,0.58,0.26,0.37,0.66,0.38,0.62,0.71,0.06,0.77,0.52,0.31,0.09,0.33,0.23,0.14
