Year;S&P500;3-month_T.Bill;US_Tbond; Baa;Real Estate;Gold
1928;0.438111552;0.0308;0.008354709;0.032195515;0.014910537;0.000968992
1929;-0.082979466;0.0316;0.042038042;0.030178562;-0.020568071;-0.001452081
1930;-0.251236364;0.0455;0.045409314;0.005397809;-0.043;0.000969462
1931;-0.438375489;0.0231;-0.02558856;-0.156807751;-0.081504702;-0.173849879
1932;-0.086423645;0.0107;0.08790307;0.235896017;-0.104664391;0.212778429
1933;0.499822254;0.0096;0.018552721;0.129668937;-0.038119441;0.272595457
1934;-0.011885657;0.002783333;0.079634426;0.188164293;0.029062087;0.317508545
1935;0.467404211;0.001675;0.044720477;0.133077319;0.097658337;0.004324013
1936;0.319434103;0.001725;0.050178754;0.113838159;0.032186015;0.000861079
1937;-0.353367288;0.002758333;0.013791461;-0.044161917;0.025633912;-0.002294236
1938;0.29282654;0.00065;0.042132485;0.092358817;-0.008736814;0.001724634
1939;-0.010975647;0.000458333;0.044122614;0.079831378;-0.013016072;-0.012338594
1940;-0.106728732;0.000358333;0.054024816;0.086481372;0.033066077;-0.016560139
1941;-0.127714556;0.001291667;-0.020221976;0.050071729;-0.083846277;0
1942;0.191737629;0.003425;0.022948682;0.05179901;0.033330412;0
1943;0.250613101;0.0038;0.0249;0.080446701;0.1144626;0
1944;0.190306769;0.0038;0.025776112;0.065658636;0.165842275;0
1945;0.358210843;0.0038;0.038044173;0.067998655;0.117773765;0.025406204
1946;-0.084291475;0.0038;0.031283745;0.02508033;0.241016857;0
1947;0.052;0.006008333;0.009196968;0.002621202;0.21263881;0
1948;0.057045752;0.01045;0.019510369;0.034369596;0.020585154;0
1949;0.183032237;0.01115;0.046634852;0.053773011;0.000893485;-0.087006626
1950;0.30805539;0.012033333;0.004295957;0.042388173;0.036403925;0.095613758
1951;0.23678463;0.015175;-0.002953139;-0.001909809;0.060476481;0
1952;0.181509886;0.017225;0.022679962;0.044412415;0.04406682;-0.003456221
1953;-0.012082047;0.018908333;0.041438403;0.016201124;0.115165685;0.006936416
1954;0.525633212;0.0093752;0.032898035;0.061579052;0.00922722;0.005740528
1955;0.325973319;0.017243426;-0.013364391;0.0204469;0;-0.000285388
1956;0.074395119;0.026213889;-0.022557738;-0.023526542;0.009142857;-0.001141878
1957;-0.104573602;0.032245669;0.067970128;-0.007189284;0.027180068;-0.001143184
1958;0.43719955;0.017665462;-0.020990182;0.064300929;0.006615215;0.004291845
1959;0.120564572;0.033860159;-0.026466313;0.015743431;0.00109529;0
1960;0.003365353;0.028729719;0.116395037;0.066631872;0.007658643;0.004843305
1961;0.26637713;0.0235249;0.020609208;0.051;0.009771987;-0.000567054
1962;-0.088114605;0.027723695;0.056935441;0.06495328;0.003225806;-0.000567376
1963;0.226119271;0.031560241;0.016841621;0.054644806;0.021436227;-0.003973886
1964;0.164154559;0.035457371;0.037280649;0.051617393;0.012591815;0.000284981
1965;0.123992425;0.039490763;0.007188551;0.031900095;0.016580311;0.000569801
1966;-0.099709542;0.0485572;0.029079409;-0.034453616;0.012232416;0.000284738
