id;anio;P1;P2;Labs;Quiz;NotaF;Sexo;Edad
1;2021;5;3;10;10.11428571;6;M;27
2;2021;2;2;8;4.58;4;H;26
3;2021;2;2;8;7.781428571;5;M;26
4;2021;9;7;8;9.131428571;8;H;25
5;2021;3;4;3;4.215714286;4;H;24
6;2021;4;0;1;1.428571429;4;H;23
7;2021;6;5;8;2.714285714;6;M;22
8;2021;5;6;10;7.542857143;7;M;22
9;2021;10;9;12;8.61;10;M;22
10;2021;7;5;3;2.518571429;5;H;21
11;2021;10;9;12;7.752857143;10;M;21
12;2021;8;6;10;11.4;9;M;21
13;2021;5;2;3;4.981428571;4;H;21
14;2021;6;3;12;6.53;7;H;21
15;2021;6;2;3;4.47;5;H;21
17;2021;9;9;10;11.4;10;M;21
18;2021;3;3;1;4;4;H;25
19;2021;12;12;12;11.16142857;12;M;24
20;2021;7;7;8;1.332857143;6;H;25
21;2022;9;9.2;10.72;11.66666667;10;M;21
22;2022;8;10.1;7.6;9.566666667;9;H;22
23;2022;7;8.3;8.15;8.805;8;H;21
24;2022;5;5.3;8.32;11.23666667;7;H;21
25;2022;6;6.5;7.8;10.64333333;7;M;21
26;2022;8;6.3;9.44;9.27;8;M;22
27;2022;7;10.4;12;11.425;10;H;21
28;2022;9;9.7;10.86;11.66666667;10;M;21
29;2022;9;10.1;10.72;11.63833333;10;M;21
30;2022;4;2;1;1.675;3;H;22
31;2022;7;6.2;8.2;9.005;7;H;21
32;2022;9;10;9.44;8.585;9;M;22
33;2022;8;7.8;8.66;10.76666667;9;H;22
34;2022;8;8.7;10.66;10.23166667;9;M;21
35;2022;9;6;5.1;7.058333333;7;H;23
36;2022;6;5.6;11.6;8.011666667;8;H;24
37;2022;11;12;10.94;7.516666667;11;H;24
38;2022;8;10.6;8.66;9.323333333;9;H;23
39;2022;7;5.4;7.59;8.188333333;7;M;21
40;2022;5;3.6;6.46;3.333333333;5;H;24
41;2022;11;11.1;10.46;9.778333333;11;H;21
