referencia;Nombre_Jugador;Equipo ;Posicion;Edad;salario;Rango_edad
1;Stephen Curry;GSW;base;32;43006362;4
2;Russell Westbrook;WAS;base;31;41358814;4
3;Chris Paul;PHX;base;35;41358814;5
4;James Harden;BKN;escolta;31;41254920;4
5;John Wall;HOU;base;30;41254920;3
6;Kevin Durant;BKN;alero;32;40108950;4
7;LeBron James;LAL;alero;35;39219566;5
8;Paul George;LAC;escolta;30;35450412;3
9;Klay Thompson;GSW;escolta;30;35361360;3
10;Mike Conley;UTH;base;32;34502132;4
11;Jimmy Butler;MIA;alero;31;34379100;4
12;Kawhi Leonard;LAC;alero;29;34379100;3
13;Kemba Walker;BOS;base;30;34379100;3
14;Tobias Harris;PHI;alero;28;34358850;3
15;Kyrie Irving;BKN;base;28;33460350;3
16;Khris Middleton;MIL;alero;29;33051724;3
17;Anthony Davis;LAL;ala;27;32742000;3
18;Damian Lillard;POR;base;30;31626953;3
19;Kevin Love;CLE;ala;32;31258256;4
20;Ben Simmons;PHI;base;24;30559200;2
21;Pascal Siakam;TOR;ala;26;30559200;2
22;Kyle Lowry;TOR;base;34;30500000;4
23;Steven Adams;NOP;pivot;27;29592695;3
24;Nikola Jokic;DEN;pivot;25;29542010;2
25;Joel Embiid;PHI;pivot;26;29542010;2
26;Andrew Wiggins;GSW;alero;25;29542010;2
27;Devin Booker;PHX;escolta;23;29467800;2
28;Karl-Anthony Towns;MIN;pivot;24;29467800;2
29;Kristaps Porzingis;DAL;ala;25;29467800;2
30;C.J. McCollum;POR;escolta;29;29354152;3
31;Bradley Beal;WAS;escolta;27;28751774;3
32;D'Angelo Russell;MIN;escolta;24;28649250;2
33;Gordon Hayward;CHA;alero;30;28500000;3
34;Otto Porter Jr.;ORL;alero;27;28489238;3
35;DeMar DeRozan;SAS;escolta;31;27739975;4
36;Giannis Antetokounmpo;MIL;ala;25;27528088;2
37;Rudy Gobert;UTH;pivot;28;27525281;3
38;Al Horford;OKC;ala;34;27500000;4
39;Brandon Ingram;NOP;alero;23;27285000;2
40;Jamal Murray;DEN;base;23;27285000;2
41;Nikola Vucevic;CHI;pivot;29;26000000;3
42;Jrue Holiday;MIL;escolta;30;25876111;3
43;Buddy Hield;SAC;escolta;27;24701834;3
44;Jaylen Brown;BOS;escolta;23;23437500;2
45;Draymond Green;GSW;ala;30;22246956;3
46;Harrison Barnes;SAC;alero;28;22215909;3
47;Fred VanVleet;TOR;base;26;21250000;2
48;Victor Oladipo;MIA;escolta;28;21000000;3
49;Malcolm Brogdon;IND;base;27;20700000;3
50;Domantas Sabonis;IND;ala;24;19800000;2
51;Zach LaVine;CHI;escolta;25;19500000;2
52;Danilo Gallinari;ATL;ala;32;19500000;4
53;Gary Harris;ORL;escolta;26;19160714;2
54;Jerami Grant;DET;ala;26;19050000;2
55;Tim Hardaway Jr.;DAL;escolta;28;18975000;3
56;Terry Rozier;CHA;base;26;18900000;2
57;Julius Randle;NYK;ala;25;18900000;2
58;Aaron Gordon;DEN;ala;25;18136364;2
59;Myles Turner;IND;pivot;24;18000000;2
60;Goran Dragic;MIA;base;34;18000000;4
61;Bogdan Bogdanovic;ATL;escolta;28;18000000;3
62;Bojan Bogdanovic;UTH;alero;31;17850000;4
63;Evan Fournier;BOS;escolta;27;17450000;3
64;Ricky Rubio;MIN;base;29;17000000;3
65;Eric Bledsoe;NOP;base;30;16875000;3
66;Eric Gordon;HOU;escolta;31;16869276;4
67;Caris LeVert;IND;escolta;26;16203704;2
68;Joe Harris;BKN;escolta;29;16071429;3
69;James Johnson;NOP;ala;33;16047100;4
70;Clint Capela;ATL;pivot;26;16000000;2
71;Dennis Schrsder;LAL;base;27;16000000;3
72;Cody Zeller;CHA;pivot;27;15415730;3
73;Danny Green;PHI;escolta;33;15365854;4
74;Jonas Valanciunas;MEM;pivot;28;15000000;3
75;Andre Iguodala;MIA;alero;36;15000000;5
76;Davis Bertans;WAS;alero;27;15000000;3
77;Marcus Morris Sr.;LAC;alero;31;14883721;4
78;Rudy Gay;SAS;alero;34;14500000;4
79;Kelly Oubre Jr.;GSW;alero;24;14375000;2
80;Dejounte Murray;SAS;base;24;14286000;2
81;Will Barton;DEN;alero;29;13723214;3
82;Thaddeus Young;CHI;ala;32;13545000;4
83;Patrick Mills;SAS;base;32;13535714;4
84;Terrence Ross;ORL;escolta;29;13500000;3
85;Marcus Smart;BOS;base;26;13446428;2
86;Malik Beasley;MIN;escolta;23;13425895;2
87;Patrick Beverley;LAC;base;32;13333333;4
88;Christian Wood;HOU;ala;25;13015874;2
89;J.J. Redick;DAL;escolta;36;13013700;5
90;Justise Winslow;MEM;alero;24;13000000;2
91;Jusuf Nurkic;POR;pivot;26;12888889;2
92;Kelly Olynyk;HOU;ala;29;12819650;3
93;Trevor Ariza;MIA;alero;35;12800000;5
94;Brook Lopez;MIL;pivot;32;12697675;4
95;Cory Joseph;DET;base;29;12600000;3
96;Markelle Fultz;ORL;base;22;12288697;1
97;Taurean Prince;CLE;ala;26;12250000;2
98;Tony Snell;ATL;escolta;28;12178571;3
99;Robert Covington;POR;ala;29;12138345;3
100;Kentavious Caldwell-Pope;LAL;escolta;27;12073020;3
101;T.J. Warren;IND;alero;27;12000000;3
102;Larry Nance Jr.;CLE;ala;27;11709091;3
103;Jordan Clarkson;UTH;base;28;11500000;3
104;Spencer Dinwiddie;BKN;base;27;11454048;3
105;Dillon Brooks;MEM;escolta;24;11400000;2
106;Dwight Powell;DAL;pivot;29;11080125;3
107;Lonzo Ball;NOP;base;22;11003782;1
108;Josh Richardson;DAL;escolta;27;10865952;3
109;Norman Powell;POR;escolta;27;10865952;3
110;Joe Ingles;UTH;alero;32;10863637;4
111;Jeremy Lamb;IND;escolta;28;10500000;3
112;DeAndre Jordan;BKN;pivot;32;10375678;4
113;Zion Williamson;NOP;ala;20;10245480;1
114;Rodney Hood;TOR;alero;27;10047450;3
115;Deandre Ayton;PHX;pivot;22;10018200;1
116;Paul Millsap;DEN;ala;35;10000000;5
117;Tomas Satoransky;CHI;escolta;28;10000000;3
118;Jayson Tatum;BOS;ala;22;9897120;1
119;Anthony Edwards;MIN;escolta;19;9757440;1
120;Al-Farouq Aminu;CHI;ala;30;9720900;3
121;Dante Exum;HOU;base;25;9600000;2
122;George Hill;PHI;base;34;9590602;4
123;De'Anthony Melton;MEM;escolta;22;9571712;1
124;Kyle Anderson;MEM;alero;27;9505100;3
125;Derrick Favors;UTH;pivot;29;9258000;3
126;Serge Ibaka;LAC;pivot;31;9258000;4
127;Tristan Thompson;BOS;pivot;29;9258000;3
128;Jae Crowder;PHX;alero;30;9258000;3
129;Montrezl Harrell;LAL;ala;26;9258000;2
130;Derrick Jones Jr.;POR;alero;23;9258000;2
131;Dario Saric;PHX;ala;26;9250000;2
132;Ja Morant;MEM;base;21;9166800;1
133;Delon Wright;SAC;base;28;9000000;3
134;Marvin Bagley III;SAC;ala;21;8963640;1
135;Cedi Osman;CLE;alero;25;8840580;2
136;Tyus Jones;MEM;base;24;8817143;2
137;James Wiseman;GSW;pivot;19;8730240;1
138;Royce O'Neale;UTH;alero;27;8500000;3
139;Thomas Bryant;WAS;pivot;23;8333333;2
140;Maxi Kleber;DAL;ala;28;8325000;3
141;Rajon Rondo;LAC;base;34;8250000;4
142;R.J. Barrett;NYK;escolta;20;8231760;1
143;Jakob Poeltl;SAS;pivot;24;8101852;2
144;De'Aaron Fox;SAC;base;22;8099627;1
145;Luka Doncic;DAL;base;21;8049360;1
146;Mason Plumlee;DET;ala;30;8000000;3
147;Louis Williams;ATL;escolta;33;8000000;4
148;P.J. Tucker;MIL;ala;35;7969537;5
149;LaMelo Ball;CHA;base;19;7839960;1
150;Seth Curry;PHI;escolta;30;7834449;3
151;Derrick Rose;NYK;base;31;7682927;4
152;Cristiano Felicio;CHI;ala;28;7529020;3
153;De'Andre Hunter;ATL;alero;22;7422000;1
154;Jonathan Isaac;ORL;ala;22;7362566;1
155;Doug McDermott;IND;alero;28;7333333;3
156;Robin Lopez;WAS;pivot;32;7300000;4
157;Jaren Jackson Jr.;MEM;ala;21;7257360;1
158;JaMychal Green;DEN;ala;30;7199760;3
159;Nemanja Bjelica;MIA;ala;32;7150000;4
160;Patrick Williams;CHI;alero;19;7068360;1
161;Ivica Zubac;LAC;pivot;23;7000000;2
162;Aron Baynes;TOR;pivot;33;7000000;4
163;Lauri Markkanen;CHI;ala;23;6731508;2
164;Darius Garland;CLE;base;20;6720720;1
165;D.J. Augustin;HOU;base;32;6666667;4
166;Trae Young;ATL;base;22;6571800;1
167;Chris Boucher;TOR;ala;27;6500000;3
168;Juan Hernangomez;MIN;ala;25;6493000;2
169;Isaac Okoro;CLE;escolta;19;6400920;1
170;Frank Ntilikina;NYK;base;22;6176578;1
171;Jarrett Culver;MIN;escolta;21;6104280;1
172;Alec Burks;NYK;escolta;29;6000000;3
173;Ishmael Smith;WAS;base;32;6000000;4
174;Mohamed Bamba;ORL;pivot;22;5969040;1
175;Onyeka Okongwu;ATL;ala;19;5813640;1
176;Justin Holiday;IND;alero;31;5720400;4
177;Dennis Smith Jr.;DET;base;22;5686677;1
178;Avery Bradley;HOU;base;29;5635000;3
179;Coby White;CHI;base;20;5572680;1
180;Trey Lyles;SAS;ala;24;5500000;2
181;Wendell Carter Jr.;ORL;pivot;21;5448840;1
182;Zach Collins;POR;pivot;22;5406255;1
183;Malik Monk;CHA;escolta;22;5345687;1
184;Killian Hayes;DET;base;19;5307120;1
185;Luke Kennard;LAC;escolta;24;5273826;2
186;Donovan Mitchell;UTH;escolta;24;5195501;2
187;Rodney McGruder;DET;escolta;29;5192307;3
188;Edrice Adebayo;MIA;ala;23;5115492;2
189;Jaxson Hayes;NOP;pivot;20;5105160;1
190;Richaun Holmes;SAC;pivot;26;5005350;2
191;Mike Scott;PHI;ala;32;5005350;4
192;Ed Davis;MIN;pivot;31;5005350;4
193;Enes Kanter;POR;pivot;28;5005350;3
194;Nerlens Noel;NYK;pivot;26;5000000;2
195;Daniel Theis;CHI;pivot;28;5000000;3
196;Collin Sexton;CLE;base;21;4991880;1
197;Pat Connaughton;MIL;escolta;27;4938273;3
198;Obi Toppin;NYK;ala;22;4862040;1
199;Kevon Looney;GSW;ala;24;4821429;2
200;Elfrid Payton;NYK;base;26;4767000;2
201;Garrett Temple;CHI;escolta;34;4767000;4
202;Josh Jackson;DET;escolta;23;4767000;2
203;Kris Dunn;ATL;base;26;4767000;2
204;Rui Hachimura;WAS;ala;22;4692840;1
205;Denzel Valentine;CHI;escolta;26;4642800;2
206;Kevin Knox;NYK;alero;21;4588680;1
207;DJ Wilson;HOU;ala;24;4548280;2
208;Deni Avdija;WAS;alero;19;4469160;1
209;Cam Reddish;ATL;alero;21;4458000;1
210;Mikal Bridges;PHX;alero;24;4359000;2
211;Jalen Smith;PHX;ala;20;4245720;1
212;Cameron Johnson;PHX;alero;24;4235160;2
213;JaVale McGee;DEN;pivot;32;4200000;4
214;Reggie Bullock;NYK;alero;29;4200000;3
215;Shai Gilgeous-Alexander;OKC;base;22;4141320;1
216;John Collins;ATL;ala;23;4137302;2
217;Willie Cauley-Stein;DAL;pivot;27;4100000;3
218;Devin Vassell;SAS;escolta;20;4033440;1
219;PJ Washington;CHA;ala;22;4023600;1
220;Dorian Finney-Smith;DAL;alero;27;4000000;3
221;Miles Bridges;CHA;alero;22;3934320;1
222;Jevon Carter;PHX;base;25;3925000;2
223;Jarrett Allen;CLE;pivot;22;3909902;1
224;Nicolo Melli;DAL;ala;29;3897436;3
225;OG Anunoby;TOR;alero;23;3872215;2
226;Gabriel Deck;OKC;alero;25;3870370;2
227;Tyrese Haliburton;SAC;base;20;3831840;1
228;Tyler Herro;MIA;escolta;20;3822240;1
229;Stanley Johnson;TOR;alero;24;3804150;2
230;Jake Layman;MIN;alero;26;3761085;2
231;Danuel House;HOU;alero;27;3717000;3
232;Kira Lewis Jr.;NOP;base;19;3640200;1
233;Romeo Langford;BOS;escolta;20;3631200;1
234;Maurice Harkless;SAC;alero;27;3623000;3
235;Bobby Portis;MIL;ala;25;3623000;2
236;Wesley Matthews;LAL;escolta;33;3623000;4
237;Kyle Kuzma;LAL;ala;25;3562178;2
238;Michael Porter Jr.;DEN;alero;22;3550800;1
239;Tony Bradley;OKC;pivot;22;3542060;1
240;Derrick White;SAS;base;26;3516284;2
241;Boban Marjanovic;DAL;pivot;32;3500000;4
242;Bismack Biyombo;CHA;pivot;28;3500000;3
243;T.J. McConnell;IND;base;28;3500000;3
244;Luca Vildoza;NYK;base;25;3500000;2
245;Josh Hart;NOP;escolta;25;3491159;2
246;Aaron Nesmith;BOS;alero;20;3458400;1
247;Sekou Doumbouya;DET;alero;19;3449400;1
248;Troy Brown Jr.;CHI;alero;21;3372840;1
249;Michael Carter-Williams;ORL;base;28;3300000;3
250;James Ennis III;ORL;alero;30;3300000;3
251;Cole Anthony;ORL;base;20;3285120;1
252;Facundo Campazzo;DEN;base;30;3200000;3
253;Chuma Okeke;ORL;ala;22;3121080;1
254;Isaiah Stewart;DET;pivot;19;3121080;1
255;Nickeil Alexander-Walker;NOP;escolta;22;3113160;1
256;Patrick Patterson;LAC;ala;31;3077704;4
257;Donte DiVincenzo;MIL;escolta;23;3044160;2
258;Trey Burke;DAL;base;27;3000000;3
259;Ryan Arcidiacono;CHI;base;26;3000000;2
260;Aleksej Pokusevski;OKC;ala;18;2964840;1
261;Goga Bitadze;IND;pivot;21;2957520;1
262;Lonnie Walker IV;SAS;escolta;21;2892000;1
263;Luka Samanic;SAS;ala;20;2824320;1
264;Josh Green;DAL;escolta;19;2816760;1
265;Kevin Huerter;ATL;escolta;22;2761920;1
266;Alex Caruso;LAL;escolta;26;2750000;2
267;Matisse Thybulle;PHI;escolta;23;2711280;2
268;Saddiq Bey;DET;escolta;21;2689920;1
269;Josh Okogie;MIN;alero;22;2651040;1
270;Brandon Clarke;MEM;alero;24;2602920;2
271;Precious Achiuwa;MIA;ala;21;2582160;1
