Customer;Age;Gender;Own Home;Married;Close;Salary;Children;Previous Customer;Previous Spent;Catalogs;Amount Spent;Log(Amount Spent)
1;73;0;0;0;1;16.4;1;1;246;12;218;5.384495063
2;22;0;1;1;0;108.1;3;1;1.622;18;2.632;0.967744013
3;51;1;1;1;1;97.3;1;0;0;12;3.048;1.114485638
4;48;1;1;1;1;26.8;0;1;536;12;435;6.075346031
5;57;1;0;0;1;11.2;0;0;0;6;106;4.663439094
6;29;0;0;0;1;42.8;0;1;856;12;759;6.632001777
7;33;0;0;0;1;34.7;0;0;0;18;1.615;0.479334957
8;55;0;1;1;0;80;0;1;2.4;6;1.985;0.685618914
9;62;1;1;0;1;60.3;0;0;0;24;2.091;0.73764242
10;37;1;1;1;0;62.3;0;1;1.869;24;2.644;0.972292922
11;63;1;0;1;1;94.2;1;1;1.413;18;1.211;0.191446465
12;31;1;1;1;0;73.8;0;1;2.214;24;3.12;1.137833002
13;34;1;1;0;1;45.9;2;1;459;12;416;6.03068526
14;45;1;0;0;0;52.6;1;0;0;18;1.773;0.572673027
15;53;0;1;1;1;82.2;1;0;0;12;1.517;0.4167347
16;49;0;1;1;1;76.7;2;1;767;6;534;6.280395839
17;55;0;1;1;1;79.4;3;1;397;6;200;5.298317367
18;49;1;1;1;1;66.9;0;1;1.338;12;1.22;0.198850859
19;43;0;0;0;1;12.4;1;0;0;12;229;5.433722004
20;23;1;0;1;1;52.6;1;1;789;12;1.052;0.050693114
21;27;0;1;0;0;28.3;0;1;849;24;933;6.838405201
22;69;1;1;0;0;53.9;0;0;0;12;1.186;0.170586301
23;42;0;0;0;1;28.9;0;1;578;12;830;6.721425701
24;71;0;0;0;1;15.9;0;0;0;18;406;6.00635316
25;30;1;0;0;1;50.7;3;1;254;6;157;5.056245805
26;43;1;0;0;0;17.8;1;0;0;18;589;6.378426184
27;24;0;1;0;1;51.3;0;1;1.026;24;1.424;0.353469813
28;32;0;1;1;1;74.4;0;1;1.488;18;2.479;0.907855253
29;76;0;1;1;1;88.2;0;0;0;24;2.749;1.011237209
30;38;1;1;1;0;79;1;1;1.975;18;2.279;0.82373675
31;32;0;1;0;0;55.2;0;1;1.656;18;1.714;0.53882982
32;41;1;1;1;1;95.8;3;1;479;12;678;6.519147288
33;38;0;0;0;0;13.7;2;0;0;24;414;6.025865974
34;29;0;1;0;1;41.3;1;0;0;18;932;6.837332815
35;53;1;1;0;0;65.4;1;1;1.635;12;2.29;0.828551818
36;47;0;1;0;0;29.6;3;0;0;12;774;6.651571874
37;28;1;0;1;1;49.8;0;1;996;12;827;6.717804695
38;22;1;1;0;1;73.7;1;1;1.106;12;1.274;0.242161557
39;36;0;1;0;1;39.9;0;0;0;6;619;6.428105273
40;68;0;0;1;1;36.6;0;1;732;6;833;6.725033642
41;26;1;1;1;1;51.2;0;1;1.024;12;1.293;0.2569651
42;65;1;1;0;1;59.4;0;1;1.188;18;1.699;0.530039843
43;56;1;1;1;1;107.3;2;1;1.073;18;1.566;0.448524598
44;44;1;1;1;0;90.7;3;1;1.361;24;2.265;0.817574759
45;32;1;1;1;0;74.4;0;1;2.232;6;1.893;0.638162872
46;41;1;1;1;0;15.4;0;1;462;6;297;5.693732139
47;74;0;0;1;1;60.1;0;0;0;18;1.594;0.46624658
48;27;0;1;1;1;81.7;3;1;409;24;879;6.778784898
49;35;0;1;0;1;36.1;0;1;722;12;438;6.08221891
50;59;0;0;0;1;47;0;0;0;6;963;6.870053412
51;51;0;0;0;1;28.2;1;1;423;6;224;5.411646052
52;52;1;1;0;1;56.7;2;1;567;18;536;6.284134161
53;55;0;0;0;0;12.6;0;1;378;6;241;5.484796933
54;28;0;1;1;1;21.5;0;1;430;18;445;6.098074282
55;67;1;1;1;0;96.8;2;1;1.936;18;2.299;0.832474246
