"";"deserta";"educ_jefe";"hermanos";"jmujer";"miembros";"aglomerado";"edad";"ch07";"ch08";"ch10";"ch11";"ch13";"ch14";"nivel_ed";"estado";"cat_ocup";"cat_inac";"intensi";"ingresos_familiares";"ingreso_per_capita";"mujer"
"1";0;4;2;1;4;2;16;5;1;1;2;2;"04";3;3;0;3;NA;70000;17500;0
"2";0;2;2;0;4;2;15;5;4;1;1;2;"02";3;3;0;3;NA;10300;2575;1
"3";0;4;2;0;4;2;15;5;1;1;1;2;"04";3;3;0;3;NA;73000;18250;0
"4";0;4;2;0;4;2;13;5;1;1;1;2;"01";3;3;0;3;NA;73000;18250;1
"5";0;4;4;1;7;2;16;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"6";0;4;2;0;3;2;17;5;4;1;1;2;"02";3;3;0;3;NA;52000;17333,33;0
"7";0;4;2;0;3;2;13;5;4;1;1;2;"02";3;3;0;3;NA;52000;17333,33;0
"8";0;4;2;1;4;2;18;5;1;1;1;2;"05";3;3;0;3;NA;24000;6000;0
"9";0;4;3;0;5;2;17;5;1;1;1;2;"04";3;3;0;3;NA;0;0;0
"10";1;4;3;0;5;2;19;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"11";0;2;1;0;3;2;14;5;4;1;1;2;"00";3;3;0;3;NA;0;0;0
"12";0;7;3;0;5;2;18;5;1;1;2;2;"05";3;3;0;3;NA;80000;16000;0
"13";0;7;3;0;5;2;13;5;1;1;2;2;"00";3;3;0;3;NA;80000;16000;0
"14";0;7;2;1;3;2;15;5;1;1;2;2;"04";3;3;0;3;NA;46000;15333,33;1
"15";0;2;4;1;5;2;18;5;1;1;1;2;"04";3;3;0;3;NA;35400;7080;1
"16";0;2;4;1;5;2;17;5;1;1;1;2;"05";3;3;0;3;NA;35400;7080;1
"17";0;2;4;1;5;2;14;5;1;1;1;2;"03";3;3;0;3;NA;35400;7080;0
"18";0;4;2;0;4;2;13;5;4;1;1;2;"01";3;3;0;3;NA;64000;16000;0
