"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"1";1;2021;7;1;1;2;61;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;30;2;2;2;1;9;2;116094;30000;116094;17;38;11,6621511798999;11,6621511798999;1444
"2";2;2021;7;1;1;2;38;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;3;5;0;0;0;20;2;2;2;1;2;2;73094;55093,5;73094;20;12;11,1994947224957;11,1994947224957;144
"3";5;2021;7;1;1;1;26;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;30;2;2;2;1;1;2;48376;48376,5;48376;17;3;10,7867694376033;10,7867694376033;9
"4";7;2021;7;1;1;1;34;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;40;2;2;2;1;9;2;43094;43093,5;43094;12;16;10,6711274526536;10,6711274526536;256
"5";7;2021;7;1;1;2;36;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;45;2;2;2;1;1;2;40094;40093,5;40094;12;18;10,5989695053928;10,5989695053928;324
"6";8;2021;7;1;1;1;29;3;5;1;7;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;40;2;2;2;1;1;2;22094;22093,5;22094;10;13;10,0030387265977;10,0030387265977;169
"7";9;2021;7;1;1;2;30;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;40;2;2;2;1;1;2;56094;56093,5;56094;18;6;10,9347752202703;10,9347752202703;36
"8";10;2021;7;1;1;2;28;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;30;2;2;2;1;2;2;48094;48093,5;48094;18;4;10,7809023118271;10,7809023118271;16
"9";12;2021;7;1;1;1;38;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;2;4;0;0;40;2;2;2;1;2;2;64434;64433,5;64434;18;14;11,0733889631778;11,0733889631778;196
"10";14;2021;7;1;1;2;41;3;5;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;33094;33093,5;33094;6;29;10,4070921674588;10,4070921674588;841
"11";14;2021;7;1;1;1;47;3;2;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;2;2;2;1;2;48094;48093,5;48094;6;35;10,7809023118271;10,7809023118271;1225
"12";14;2021;7;1;1;1;29;3;5;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;33400;31000;31000;8;15;10,4163111789648;10,3417424834673;225
"13";15;2021;7;1;1;2;55;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;30;2;2;2;1;1;2;55986;48594,4;55986;14;35;10,9328551522997;10,9328551522997;1225
"14";18;2021;7;1;1;2;33;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;3;1;24;2;2;2;1;1;2;123094;63093,5;123094;21;6;11,7206995081789;11,7206995081789;36
"15";18;2021;7;1;1;1;30;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;3;0;0;45;2;2;2;1;1;2;53094;53093,5;53094;15;9;10,8798097891911;10,8798097891911;81
"16";19;2021;7;1;1;1;60;3;5;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;2;2;1;1;2;78094;78093,5;78094;6;48;11,2656621057317;11,2656621057317;2304
"17";21;2021;7;1;1;1;49;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;35;2;2;2;1;2;2;152760;151093,5;151094;17;26;11,9366244323749;11,9256541294666;676
"18";25;2021;7;1;1;1;43;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;40;2;2;2;1;9;2;53094;53093,5;53094;17;20;10,8798097891911;10,8798097891911;400
"19";25;2021;7;1;1;2;33;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;0;0;30;2;2;2;1;2;2;58094;58093,5;58094;16;11;10,9698090605057;10,9698090605057;121
"20";26;2021;7;1;1;1;49;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;30;2;2;2;1;2;2;113094;113093,5;113094;17;26;11,6359701891883;11,6359701891883;676
"21";26;2021;7;1;1;2;47;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;45;2;2;2;1;1;2;88094;88093,5;88094;17;24;11,3861540294067;11,3861540294067;576
"22";27;2021;7;1;1;2;30;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;45;2;2;2;1;9;2;86594;86593,5;86594;17;7;11,3689800339968;11,3689800339968;49
