fecha;inflación
Ago-37;0.006309148
set-37;-0.006269592
Oct-37;0.006309148
Nov-37;0.003134796
Dic-37;0.003125
Ene-38;0.003115265
Feb-38;-0.037267081
Mar-38;-0.003225806
Abr-38;0
May-38;0.025889968
Jun-38;0.006309148
Jul-38;0.015673981
Ago-38;0.00308642
set-38;0
Oct-38;-0.006153846
Nov-38;0.00619195
Dic-38;-0.006153846
Ene-39;0.027863777
Feb-39;-0.009036145
Mar-39;-0.009118541
Abr-39;0.042944785
May-39;0
Jun-39;-0.011764706
Jul-39;-0.00297619
Ago-39;-0.002985075
set-39;0.011976048
Oct-39;0.00591716
Nov-39;0.008823529
Dic-39;0.034985423
Ene-40;-0.014084507
Feb-40;0
Mar-40;0.005714286
Abr-40;-0.005681818
May-40;-0.011428571
Jun-40;0.023121387
Jul-40;0
Ago-40;0
set-40;-0.002824859
Oct-40;0
Nov-40;0.002832861
Dic-40;0.005649718
Ene-41;0
Feb-41;-0.008426966
Mar-41;0
Abr-41;0.002832861
May-41;0
Jun-41;0.005649718
Jul-41;-0.019662921
Ago-41;0.00286533
set-41;0.005714286
Oct-41;0
Nov-41;0.002840909
Dic-41;0.005665722
Ene-42;-0.002816901
Feb-42;0.028248588
Mar-42;0.002747253
Abr-42;0
May-42;0.010958904
Jun-42;-0.005420054
Jul-42;0.005449591
Ago-42;-0.016260163
set-42;0
Oct-42;0.002754821
Nov-42;0
Dic-42;0.008241758
Ene-43;0.019073569
Feb-43;0.016042781
Mar-43;0.028947368
Abr-43;0.007672634
May-43;-0.012690355
Jun-43;-0.01285347
Jul-43;0
Ago-43;0
set-43;0.036458333
Oct-43;0.027638191
Nov-43;-0.034229829
Dic-43;-0.027848101
Ene-44;0
Feb-44;-0.0078125
Mar-44;0.015748031
Abr-44;0.007751938
May-44;0.033333333
Jun-44;0.00248139
Jul-44;0
Ago-44;0.012376238
set-44;0.012224939
Oct-44;0.007246377
Nov-44;-0.004796163
Dic-44;-0.004819277
Ene-45;0.016949153
Feb-45;0.035714286
Mar-45;0.011494253
Abr-45;-0.002272727
May-45;0.006833713
Jun-45;0.018099548
Jul-45;0.024444444
Ago-45;0.056399132
set-45;-0.039014374
Oct-45;0.002136752
Nov-45;0.008528785
Dic-45;-0.010570825
Ene-46;0.021367521
Feb-46;0.008368201
Mar-46;0.012448133
Abr-46;-0.006147541
May-46;0.024742268
Jun-46;0.014084507
Jul-46;0.011904762
Ago-46;0
set-46;-0.003921569
Oct-46;0.001968504
Nov-46;0.003929273
Dic-46;0.037181996
Ene-47;0.01509434
Feb-47;0.027881041
Mar-47;0.005424955
Abr-47;0.041366906
May-47;0.006908463
Jun-47;0.006861063
Jul-47;0.005110733
Ago-47;0.015254237
set-47;-0.023372287
Oct-47;0
Nov-47;0
Dic-47;0.001709402
Ene-48;0.006825939
Feb-48;-0.011864407
Mar-48;0
Abr-48;-0.006861063
May-48;0
Jun-48;-0.006908463
Jul-48;0.020869565
Ago-48;0
set-48;0.008517888
Oct-48;-0.001689189
Nov-48;0.013536379
Dic-48;0.003338898
Ene-49;0.038269551
Feb-49;0.012820513
Mar-49;0.004746835
Abr-49;-0.011023622
May-49;-0.00477707
Jun-49;0.0144
Jul-49;0.001577287
Ago-49;-0.012598425
set-49;-0.063795853
Oct-49;0.008517888
Nov-49;-0.006756757
Dic-49;0.003401361
Ene-50;-0.011864407
Feb-50;0.006861063
Mar-50;0.005110733
Abr-50;0.010169492
May-50;-0.021812081
Jun-50;0.010291595
Jul-50;0.001697793
Ago-50;-0.006779661
set-50;-0.006825939
Oct-50;0.013745704
Nov-50;0.022033898
Dic-50;0
Ene-51;0.029850746
Feb-51;0
Mar-51;-0.003220612
Abr-51;0.084006462
May-51;0.001490313
Jun-51;0.007440476
Jul-51;0
Ago-51;0.013293944
set-51;0.027696793
Oct-51;0.009929078
Nov-51;0.019662921
Dic-51;0.004132231
Ene-52;-0.002743484
Feb-52;0.023383769
Mar-52;0.014784946
Abr-52;0.005298013
May-52;-0.001317523
Jun-52;0.009234828
Jul-52;0.014379085
Ago-52;-0.003865979
set-52;0.020698577
Oct-52;0
Nov-52;0.012674271
Dic-52;0.012515645
Ene-53;-0.001236094
Feb-53;-0.013613861
Mar-53;0.003764115
Abr-53;0.00375
May-53;0.01369863
Jun-53;-0.00982801
Jul-53;0.006203474
Ago-53;0.002466091
set-53;0.035670357
Oct-53;0.002375297
Nov-53;0.003554502
Dic-53;0.043683589
Ene-54;-0.011312217
Feb-54;0.00228833
Mar-54;0.003424658
Abr-54;0.019340159
May-54;0.012276786
Jun-54;0.036383682
Jul-54;-0.015957447
Ago-54;-0.011891892
set-54;0.037199125
Oct-54;0.009493671
Nov-54;0.004179728
Dic-54;-0.006243496
Ene-55;0.015706806
Feb-55;-0.001030928
Mar-55;0.00619195
Abr-55;0.001025641
May-55;0.005122951
Jun-55;0.001019368
Jul-55;0.026476578
Ago-55;0.01984127
set-55;-0.023346304
Oct-55;0.016932271
Nov-55;0.007835455
Dic-55;0.02526725
Ene-56;0.005687204
Feb-56;-0.004712535
Mar-56;-0.014204545
Abr-56;-0.010566763
