año;mes;inflación
1937;8;0.006309148
1937;9;-0.006269592
1937;10;0.006309148
1937;11;0.003134796
1937;12;0.003125
1938;1;0.003115265
1938;2;-0.037267081
1938;3;-0.003225806
1938;4;0
1938;5;0.025889968
1938;6;0.006309148
1938;7;0.015673981
1938;8;0.00308642
1938;9;0
1938;10;-0.006153846
1938;11;0.00619195
1938;12;-0.006153846
1939;1;0.027863777
1939;2;-0.009036145
1939;3;-0.009118541
1939;4;0.042944785
1939;5;0
1939;6;-0.011764706
1939;7;-0.00297619
1939;8;-0.002985075
1939;9;0.011976048
1939;10;0.00591716
1939;11;0.008823529
1939;12;0.034985423
1940;1;-0.014084507
1940;2;0
1940;3;0.005714286
1940;4;-0.005681818
1940;5;-0.011428571
1940;6;0.023121387
1940;7;0
1940;8;0
1940;9;-0.002824859
1940;10;0
1940;11;0.002832861
1940;12;0.005649718
1941;1;0
1941;2;-0.008426966
1941;3;0
1941;4;0.002832861
1941;5;0
1941;6;0.005649718
1941;7;-0.019662921
1941;8;0.00286533
1941;9;0.005714286
1941;10;0
1941;11;0.002840909
1941;12;0.005665722
1942;1;-0.002816901
1942;2;0.028248588
1942;3;0.002747253
1942;4;0
1942;5;0.010958904
1942;6;-0.005420054
1942;7;0.005449591
1942;8;-0.016260163
1942;9;0
1942;10;0.002754821
1942;11;0
1942;12;0.008241758
1943;1;0.019073569
1943;2;0.016042781
1943;3;0.028947368
1943;4;0.007672634
1943;5;-0.012690355
1943;6;-0.01285347
1943;7;0
1943;8;0
1943;9;0.036458333
1943;10;0.027638191
1943;11;-0.034229829
1943;12;-0.027848101
1944;1;0
1944;2;-0.0078125
1944;3;0.015748031
1944;4;0.007751938
1944;5;0.033333333
1944;6;0.00248139
1944;7;0
1944;8;0.012376238
1944;9;0.012224939
1944;10;0.007246377
1944;11;-0.004796163
1944;12;-0.004819277
1945;1;0.016949153
1945;2;0.035714286
1945;3;0.011494253
1945;4;-0.002272727
1945;5;0.006833713
1945;6;0.018099548
1945;7;0.024444444
1945;8;0.056399132
1945;9;-0.039014374
1945;10;0.002136752
1945;11;0.008528785
1945;12;-0.010570825
1946;1;0.021367521
1946;2;0.008368201
1946;3;0.012448133
1946;4;-0.006147541
1946;5;0.024742268
1946;6;0.014084507
1946;7;0.011904762
1946;8;0
1946;9;-0.003921569
1946;10;0.001968504
1946;11;0.003929273
1946;12;0.037181996
1947;1;0.01509434
1947;2;0.027881041
1947;3;0.005424955
1947;4;0.041366906
1947;5;0.006908463
1947;6;0.006861063
1947;7;0.005110733
1947;8;0.015254237
1947;9;-0.023372287
1947;10;0
1947;11;0
1947;12;0.001709402
1948;1;0.006825939
1948;2;-0.011864407
1948;3;0
1948;4;-0.006861063
1948;5;0
1948;6;-0.006908463
1948;7;0.020869565
1948;8;0
1948;9;0.008517888
1948;10;-0.001689189
1948;11;0.013536379
1948;12;0.003338898
1949;1;0.038269551
1949;2;0.012820513
1949;3;0.004746835
1949;4;-0.011023622
1949;5;-0.00477707
1949;6;0.0144
1949;7;0.001577287
1949;8;-0.012598425
1949;9;-0.063795853
1949;10;0.008517888
1949;11;-0.006756757
1949;12;0.003401361
1950;1;-0.011864407
1950;2;0.006861063
1950;3;0.005110733
1950;4;0.010169492
1950;5;-0.021812081
1950;6;0.010291595
1950;7;0.001697793
1950;8;-0.006779661
1950;9;-0.006825939
1950;10;0.013745704
1950;11;0.022033898
1950;12;0
1951;1;0.029850746
1951;2;0
1951;3;-0.003220612
1951;4;0.084006462
1951;5;0.001490313
1951;6;0.007440476
1951;7;0
1951;8;0.013293944
1951;9;0.027696793
1951;10;0.009929078
1951;11;0.019662921
1951;12;0.004132231
1952;1;-0.002743484
1952;2;0.023383769
1952;3;0.014784946
1952;4;0.005298013
1952;5;-0.001317523
1952;6;0.009234828
1952;7;0.014379085
1952;8;-0.003865979
1952;9;0.020698577
1952;10;0
1952;11;0.012674271
1952;12;0.012515645
1953;1;-0.001236094
1953;2;-0.013613861
1953;3;0.003764115
1953;4;0.00375
1953;5;0.01369863
1953;6;-0.00982801
1953;7;0.006203474
1953;8;0.002466091
1953;9;0.035670357
1953;10;0.002375297
1953;11;0.003554502
1953;12;0.043683589
1954;1;-0.011312217
1954;2;0.00228833
1954;3;0.003424658
1954;4;0.019340159
1954;5;0.012276786
1954;6;0.036383682
1954;7;-0.015957447
1954;8;-0.011891892
1954;9;0.037199125
1954;10;0.009493671
1954;11;0.004179728
1954;12;-0.006243496
1955;1;0.015706806
1955;2;-0.001030928
1955;3;0.00619195
1955;4;0.001025641
1955;5;0.005122951
1955;6;0.001019368
1955;7;0.026476578
1955;8;0.01984127
1955;9;-0.023346304
1955;10;0.016932271
1955;11;0.007835455
1955;12;0.02526725
