p=0.35;p=0.65;;;;;;
0.338709677;0.612903226;;;;;;
0.322580645;0.661290323;;;;;;
0.35483871;0.693548387;;;;;;
0.362903226;0.612903226;;;;;;
0.314516129;0.669354839;;;;;;
0.330645161;0.64516129;;;;;;
0.362903226;0.669354839;;;;;;
0.290322581;0.701612903;;;;;;
0.338709677;0.709677419;;;;;;
0.314516129;0.677419355;;;;;;
0.322580645;0.596774194;;;;;;
0.419354839;0.717741935;;;;;;
0.298387097;0.620967742;;;;;;
0.411290323;0.669354839;;;;;;
0.387096774;0.612903226;;;;;;
0.298387097;0.669354839;;;;;;
0.379032258;0.596774194;;;;;;
0.362903226;0.64516129;;;;;;
0.387096774;0.653225806;;;;;;
0.314516129;0.64516129;;;;;;
0.387096774;0.653225806;;;;;;
0.314516129;0.637096774;;;;;;
0.290322581;0.677419355;;;;;;
0.314516129;0.64516129;;;;;;
0.322580645;0.677419355;;;;;;
0.330645161;0.588709677;;;;;;
0.443548387;0.661290323;;;;;;
0.370967742;0.693548387;;;;;;
0.403225806;0.612903226;;;;;;
0.387096774;0.629032258;;;;;;
0.411290323;0.669354839;;;;;;
0.379032258;0.588709677;;;;;;
0.362903226;0.725806452;;;p=0.35;;p=0.65;
0.35483871;0.620967742;;;;;;
0.290322581;0.64516129;;;Media;0.349674194;Media;0.649648387
0.338709677;0.653225806;;;Error t’pico;0.000610803;Error t’pico;0.000608162
0.379032258;0.661290323;;;Mediana;0.346774194;Mediana;0.653225806
0.338709677;0.596774194;;;Moda;0.35483871;Moda;0.661290323
0.330645161;0.64516129;;;Desviaci—n est‡ndar;0.043190302;Desviaci—n est‡ndar;0.043003541
0.35483871;0.701612903;;;Varianza de la muestra;0.001865402;Varianza de la muestra;0.001849305
0.346774194;0.693548387;;;Curtosis;0.077762852;Curtosis;-0.069464436
0.338709677;0.685483871;;;Coeficiente de asimetr’a;0.028996267;Coeficiente de asimetr’a;-0.044060051
0.387096774;0.733870968;;;Rango;0.362903226;Rango;0.330645161
0.35483871;0.725806452;;;M’nimo;0.161290323;M’nimo;0.475806452
0.35483871;0.661290323;;;M‡ximo;0.524193548;M‡ximo;0.806451613
0.370967742;0.60483871;;;Suma;1748.370968;Suma;3248.241935
0.370967742;0.677419355;;;Cuenta;5000;Cuenta;5000
0.314516129;0.725806452;;;;;;
0.290322581;0.629032258;;;;;;
0.379032258;0.637096774;;;;;;
0.370967742;0.637096774;;;;;;
0.379032258;0.677419355;;;;;;
0.387096774;0.661290323;;;;;;
0.346774194;0.709677419;;;;;;
0.427419355;0.588709677;;;;;;
0.330645161;0.580645161;;;;;;
0.338709677;0.588709677;;;;;;
0.35483871;0.701612903;;;;;;
0.282258065;0.693548387;;;;;;
0.379032258;0.701612903;;;;;;
0.298387097;0.685483871;;;;;;
0.274193548;0.653225806;;;;;;
0.338709677;0.556451613;;;;;;
0.435483871;0.677419355;;;;;;
0.387096774;0.64516129;;;;;;
0.290322581;0.677419355;;;;;;
0.387096774;0.612903226;;;;;;
0.387096774;0.612903226;;;;;;
0.35483871;0.620967742;;;;;;
0.379032258;0.709677419;;;;;;
0.290322581;0.629032258;;;;;;
0.379032258;0.653225806;;;;;;
0.35483871;0.653225806;;;;;;
0.298387097;0.685483871;;;;;;
0.282258065;0.661290323;;;;;;
0.298387097;0.701612903;;;;;;
0.346774194;0.588709677;;;;;;
0.411290323;0.637096774;;;;;;
0.379032258;0.64516129;;;;;;
0.403225806;0.661290323;;;;;;
0.322580645;0.629032258;;;;;;
