dog_name,birth_year,gender,breed,zipcode
PAIGE,2014,F,American Pit Bull Mix / Pit Bull Mix,10035
YOGI,2010,M,Boxer,10465
ALI,2014,M,Basenji,10013
QUEEN,2013,F,Akita Crossbreed,10013
LOLA,2009,F,Maltese,10028
IAN,2006,M,Unknown,10013
BUDDY,2008,M,Unknown,10025
CHEWBACCA,2012,F,Labrador Retriever Crossbreed,10013
HEIDI-BO,2007,F,Dachshund Smooth Coat,11215
MASSIMO,2009,M,"Bull Dog, French",11201
LOLA,2006,F,Miniature Pinscher,10022
LEMMY,2005,F,Yorkshire Terrier,10003
LUCY,2014,F,Dachshund Smooth Coat Miniature,11215
RICKY,2014,M,German Shepherd Dog,11220
SARAH,2012,F,Unknown,10040
MURPHY,2012,M,American Pit Bull Mix / Pit Bull Mix,10463
JUNE,2010,F,Cavalier King Charles Spaniel,11238
ELIZABETH,2013,F,Cavalier King Charles Spaniel,10022
AVERY,2014,F,American Pit Bull Terrier/Pit Bull,10002
SOPHIE,2011,F,Boxer,10308
OTIS,2001,F,Unknown,10011
BENSON,2010,M,Boxer,11209
BIGS,2004,M,American Pit Bull Terrier/Pit Bull,11208
LOGAN,2003,M,Unknown,10011
BESS,2010,F,Beagle,11218
APPLE,2013,M,Havanese,10025
MUNECA,2013,F,Beagle,11232
DOTTIE,2013,F,"Poodle, Standard",10025
OSCAR,2008,M,German Shorthaired Pointer,10025
BUDDY,2012,M,Bull Terrier,10312
JOEY,2010,F,Labrador Retriever Crossbreed,10023
MAX,2005,M,"Dachshund, Long Haired",10023
JASMINE,2008,F,Unknown,11209
SAMMY,2007,M,Beagle,11231
NINA,2010,F,"Schnauzer, Miniature",10461
ROSIE,2010,F,Unknown,10028
SHERRIE,2008,M,Yorkshire Terrier,11224
ELAINE,2005,F,Labrador Retriever,10471
DEDE,2013,M,Boston Terrier,11236
LILAH,2008,F,Norfolk Terrier,11209
COOBY,2013,M,Bichon Frise,10002
RANGER,2007,M,German Shorthaired Pointer,11229
SANDEE,2009,F,"Schnauzer, Miniature",11361
TIBERIUS,2006,M,Golden Retriever,10021
COCO,2009,F,Bichon Frise,10309
LOUIE,2008,M,Unknown,10024
PIRULO,2008,M,Unknown,10038
PEPI,2004,M,Unknown,10467
DEXTER,2010,M,Cavalier King Charles Spaniel,11201
LUNA,2009,F,"Schnauzer, Miniature",11215
MIA,2013,F,Rottweiler,33185
DUKE,2012,M,Boxer,10012
PAOLA,2013,F,Unknown,10038
