Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
1;Stephen Curry; GSW;PG ;34 ;48070014;Base;4
2;Russell Westbrook; LAL;PG ;34 ;47063478;Base;4
3;LeBron James; LAL;SF ;38 ;44474988;Alero;5
4;Kevin Durant; BKN;SF ;34 ;44119845;Alero;4
5;Bradley Beal; WAS;SG ;29 ;43279250;Escolta;3
6;Paul George; LAC;SG ;32 ;42492568;Escolta;4
7;Giannis Antetokounmpo; MIL;PF ;28 ;42492492;ala;3
8;Kawhi Leonard; LAC;SF ;31 ;42492492;Alero;4
9;Damian Lillard; POR;PG ;32 ;42492492;Base;4
10;Klay Thompson; GSW;SG ;32 ;40600080;Escolta;4
11;Rudy Gobert; MIN;C ;30 ;38172414;pivot;3
12;Anthony Davis; LAL;PF ;29 ;37980720;ala;3
13;Khris Middleton; MIL;SF ;31 ;37948276;Alero;4
14;Jimmy Butler; MIA;SF ;33 ;37653300;Alero;4
15;Tobias Harris; PHI;SF ;30 ;37633050;Alero;3
16;Luka Doncic; DAL;PG ;23 ;37096500;Base;2
17;Trae Young; ATL;PG ;24 ;37096500;Base;2
18;Zach LaVine; CHI;SG ;27 ;37096500;Escolta;3
19;Kyrie Irving; BKN;PG ;30 ;36934550;Base;3
20;Ben Simmons; BKN;PG ;26 ;35448672;Base;2
21;Pascal Siakam; TOR;PF ;28 ;35448672;ala;3
22;Karl-Anthony Towns; MIN;C ;27 ;33833400;pivot;3
23;Kristaps Porzingis; WAS;PF ;27 ;33833400;ala;3
24;Devin Booker; PHX;SG ;26 ;33833400;Escolta;2
25;Jrue Holiday; MIL;SG ;32 ;33665040;Escolta;4
26;Andrew Wiggins; GSW;SF ;27 ;33616770;Alero;3
27;Joel Embiid; PHI;C ;28 ;33616770;pivot;3
28;C.J. McCollum; NOP;SG ;31 ;33333333;Escolta;4
29;Nikola Jokic; DEN;C ;27 ;33047804;pivot;3
30;James Harden; PHI;SG ;33 ;33000000;Escolta;4
31;Brandon Ingram; NOP;SF ;25 ;31650600;Alero;2
32;Jamal Murray; DEN;PG ;25 ;31650600;Base;2
33;D'Angelo Russell; MIN;PG ;26 ;31377750;Base;2
34;Michael Porter Jr.; DEN;SF ;24 ;30913750;Alero;2
35;Shai Gilgeous-Alexander; OKC;PG ;24 ;30913750;Base;2
36;Deandre Ayton; PHX;C ;24 ;30913750;pivot;2
37;Donovan Mitchell; UTH;SG ;26 ;30351780;Escolta;2
38;Jayson Tatum; BOS;PF ;24 ;30351780;ala;2
39;De'Aaron Fox; SAC;PG ;25 ;30351780;Base;2
40;Bam Adebayo; MIA;PF ;25 ;30351780;ala;2
41;Gordon Hayward; CHA;SF ;32 ;30075000;Alero;4
42;Jaren Jackson Jr.; MEM;PF ;23 ;28946605;ala;2
43;Kevin Love; CLE;PF ;34 ;28942830;ala;4
44;Jaylen Brown; BOS;SG ;26 ;28741071;Escolta;2
45;Chris Paul; PHX;PG ;37 ;28400000;Base;5
46;Kyle Lowry; MIA;PG ;36 ;28333334;Base;5
47;Jalen Brunson; NYK;PG ;26 ;27733332;Base;2
48;DeMar DeRozan; CHI;SG ;33 ;27300000;Escolta;4
49;Al Horford; BOS;C ;36 ;26500000;pivot;5
50;Draymond Green; GSW;PF ;32 ;25806469;ala;4
51;Julius Randle; NYK;PF ;28 ;23760000;ala;3
52;John Collins; ATL;PF ;25 ;23500000;ala;2
53;Mike Conley; UTH;PG ;35 ;22680000;Base;5
54;Malcolm Brogdon; BOS;PG ;30 ;22600000;Base;3
55;Anfernee Simons; POR;SG ;23 ;22321429;Escolta;2
56;Nikola Vucevic; CHI;C ;32 ;22000000;pivot;4
57;Terry Rozier; CHA;PG ;28 ;21486316;Base;3
58;Fred VanVleet; TOR;PG ;28 ;21250000;Base;3
59;Buddy Hield; IND;SG ;30 ;21177750;Escolta;3
60;Mikal Bridges; PHX;SF ;26 ;21000000;Alero;2
61;Jerami Grant; POR;PF ;28 ;20955000;ala;3
62;Spencer Dinwiddie; DAL;PG ;29 ;20171427;Base;3
63;Jarrett Allen; CLE;C ;24 ;20000000;pivot;2
64;Aaron Gordon; DEN;PF ;27 ;19690909;ala;3
65;Tim Hardaway Jr.; DAL;SG ;30 ;19602273;Escolta;3
66;Eric Gordon; HOU;SG ;34 ;19568360;Escolta;4
67;Bojan Bogdanovic; UTH;SF ;33 ;19550000;Alero;4
68;Lonzo Ball; CHI;PG ;25 ;19534884;Base;2
69;Caris LeVert; CLE;SG ;28 ;18796296;Escolta;3
