Mes	Dia	Venta
6	3	424
6	4	944
6	5	393
6	6	460
6	1	732
6	2	426
6	3	654
6	4	302
6	5	477
6	6	430
6	1	718
6	2	318
6	3	379
6	4	903
6	5	801
6	6	523
6	1	281
6	2	499
6	3	527
6	4	533
6	5	250
6	6	585
6	1	1497
6	2	216
6	3	373
6	4	295
7	5	313
7	6	312
7	1	626
7	2	197
7	3	218
7	4	378
7	5	405
7	6	775
7	1	617
7	2	133
7	3	350
7	4	362
7	5	544
7	6	530
7	1	630
7	2	603
7	3	1651
7	4	472
7	5	414
7	6	385
7	1	449
7	2	407
7	3	487
7	4	652
7	5	810
7	6	620
8	1	701
8	2	601
8	3	682
8	4	760
8	5	906
8	6	509
8	1	1468
8	2	870
8	3	777
8	4	862
8	5	615
8	6	1352
8	1	2817
8	2	1002
8	3	1344
8	4	1249
8	5	1046
8	6	1563
8	1	1883
8	2	1363
8	3	1037
8	4	1086
8	5	933
8	6	1312
8	1	1713
8	2	1158
8	3	410
9	4	723
9	5	486
9	6	958
9	1	1273
9	2	416
9	3	335
9	4	360
9	5	367
9	6	560
9	1	749
9	2	354
9	3	281
9	4	704
9	5	396
9	6	404
9	1	786
9	2	78
9	3	298
9	4	370
9	5	1111
9	6	1271
9	1	773
9	2	117
9	3	149
9	4	129
9	5	141
10	6	705
10	1	432
10	2	71
10	3	110
10	4	204
10	5	378
10	6	274
10	1	272
10	2	376
10	3	268
10	4	352
10	5	243
10	6	358
10	1	228
10	2	318
10	3	340
10	4	395
10	5	543
10	6	482
10	1	361
10	2	283
10	3	240
10	4	239
10	5	220
10	6	261
10	1	781
11	2	362
11	3	442
11	4	474
11	5	554
11	6	933
11	1	1643
11	2	577
11	3	442
11	4	633
11	5	787
11	6	621
11	1	1809
11	2	534
11	3	458
11	4	483
11	5	227
11	6	758
11	1	1444
11	2	170
11	3	172
11	5	1674
11	6	2009
11	1	714
11	2	325
11	3	466
12	4	516
12	5	350
12	6	2149
12	1	1834
12	2	786
12	3	710
12	4	784
12	5	670
12	6	1489
12	1	2217
12	2	1135
12	3	862
12	4	380
12	5	1356
12	6	2890
12	1	3078
12	2	2294
12	3	2365
12	4	1801
12	5	2042
12	6	325
12	1	816
12	2	564
12	3	1083
12	4	667
12	5	621
12	6	720
1	1	1292
1	2	994
1	3	377
1	4	1073
1	5	415
1	6	800
1	1	976
1	2	194
1	3	393
1	4	481
1	5	210
1	6	1686
1	1	1411
1	2	399
1	3	546
1	4	460
1	5	564
1	6	1586
1	1	1163
1	2	320
1	3	291
1	4	686
1	5	530
1	6	768
1	1	817
1	2	335
2	3	490
2	4	152
2	5	256
2	6	799
2	1	670
2	2	435
2	3	716
2	4	306
2	5	243
2	6	449
2	1	753
2	2	561
2	3	544
2	4	212
2	5	155
2	6	2187
2	1	934
2	2	343
2	3	237
2	4	130
2	5	332
2	6	472
2	1	790
2	2	643
2	3	439
